No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2652,[CSM2022] 0866,110.85326,-73.45676,G,117908.0,0.3933,SLS,,1.048,4,0,0,4,5,0,0
2657,SMACS J0723-7327:[CSM2022] 56,110.85347,-73.45962,G,325095.0,1.0844,SLS,,1.221,3,0,0,3,4,0,0
2659,SMACS J0723:[NDA2023] 01155.2,110.85348,-73.45964,VisS,325095.0,1.0844,SLS,,1.222,1,0,0,1,1,0,0
2660,SMACS J0723-7327:[ICR2022] 061,110.85361,-73.4672,IrS,89938.0,0.3,PSE,,1.675,1,0,0,1,1,0,0
2661,SMACS J0723-7327:[ICR2022] 212,110.85385,-73.45737,IrS,0.0,0.0,PSE,,1.086,1,0,0,1,1,0,0
2662,SMACS J0723-7327:[CSM2022] 57,110.85387,-73.45924,G,324465.0,1.0823,SLS,,1.198,3,0,0,3,3,0,0
2664,[CSM2022] 0651,110.85398,-73.45015,G,115360.0,0.3848,SLS,,0.654,4,0,0,4,4,0,0
2666,SMACS J0723-7327:[ICR2022] 145,110.85405,-73.46177,IrS,1468983.0,4.9,PSE,,1.349,1,0,0,1,2,0,0
2667,SMACS J0723-7327:[ICR2022] 146,110.8541,-73.46075,IrS,809440.0,2.7,PSE,,1.289,1,0,0,1,1,0,0
2670,SMACS J0723-7327:[ICR2022] 113,110.85446,-73.46373,IrS,104927.0,0.35,PSE,,1.467,1,0,0,1,1,0,0
2671,SMACS J0723-7327:[CYH2022] ID3,110.85458,-73.46081,G,314782.0,1.05,UUN,,1.292,2,0,0,2,1,0,0
2673,SMACS J0723:[NDA2023] 00956,110.85493,-73.43995,G,325125.0,1.0845,SLS,,0.085,1,0,0,1,1,0,0
2676,[CSM2022] 0579,110.85521,-73.45028,G,118028.0,0.3937,SLS,,0.664,4,0,0,4,5,0,0
2678,SMACS J0723-7327:[ICR2022] 158,110.8556,-73.46047,IrS,104927.0,0.35,PSE,,1.273,1,0,0,1,1,0,0
2679,[HOO2023] F200DB-159,110.85563,-73.44611,G,1025290.0,3.42,PSE,,0.418,2,0,0,2,3,0,0
2680,SMACS J0723-7327:[ICR2022] 287,110.85566,-73.45194,IrS,89938.0,0.3,PSE,,0.763,1,0,0,1,1,0,0
2681,SMACS J0723-7327:[ICR2022] 065,110.85567,-73.46662,IrS,464678.0,1.55,PSE,,1.642,1,0,0,1,1,0,0
2682,SMACS J0723-7327:[CSM2022] 60,110.85589,-73.45897,G,324765.0,1.0833,SLS,,1.184,3,0,0,3,3,0,0
2683,[CSM2022] 0847,110.85589,-73.45584,G,116859.0,0.3898,SLS,,0.997,4,0,0,4,5,0,0
2684,SMACS J0723-7327:[ICR2022] 073,110.85626,-73.46607,IrS,344761.0,1.15,PSE,,1.609,1,0,0,1,1,0,0
2686,[CSM2022] 0578,110.85641,-73.4508,G,116080.0,0.3872,SLS,,0.697,4,0,0,4,4,0,0
2687,SMACS J0723-7327:[ICR2022] 072,110.85662,-73.46598,IrS,314782.0,1.05,PSE,,1.604,1,0,0,1,1,0,0
2688,[RBI2023] TAAL,110.85667,-73.43667,G,1061265.0,3.54,PUN,,0.19,1,0,0,1,2,0,0
2689,[DMD2023] 043866,110.85667,-73.43679,G,2839035.0,9.47,PUN,,0.184,1,0,0,1,2,0,0
2692,WISEA J072325.63-732628.8,110.85681,-73.44135,IrS,118178.0,0.3942,SLS,,0.163,2,0,12,3,1,0,0
2693,SMACS J0723-7327:[CSM2022] 59,110.85683,-73.45889,G,327044.0,1.0909,SLS,,1.18,3,0,0,3,4,0,0
2695,SMACS J0723-7327:[ICR2022] 175,110.85707,-73.45973,IrS,104927.0,0.35,PSE,,1.231,1,0,0,1,1,0,0
2698,SMACS J0723-7327:[ICR2022] 134,110.85773,-73.46066,IrS,704512.0,2.35,PSE,,1.288,1,0,0,1,1,0,0
2701,SMACS J0723-7327:[ICR2022] 050,110.85796,-73.46634,IrS,149896.0,0.5,PSE,,1.627,1,0,0,1,2,0,0
2704,[HOO2023] F150DB-C_4,110.85817,-73.44442,G_Lens,821791.0,2.7412,SLS,,0.334,4,0,0,4,6,0,0
2707,SMACS J0723-7327:[ICR2022] 203,110.85862,-73.45783,IrS,89938.0,0.3,PSE,,1.121,1,0,0,1,1,0,0
