No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
759,WISEA J201130.44-565557.6,302.87698,-56.93269,G,19169.0,0.06394,SLS,20.0V,10.511,6,0,12,6,2,0,0
766,WISEA J201130.67-563939.2,302.87782,-56.6609,G,16531.0,0.05514,SLS,17.8V,13.898,5,0,18,5,1,0,0
802,WISEA J201131.67-564226.7,302.88197,-56.70743,G,19289.0,0.06434,SLS,19.5V,11.78,5,0,12,4,1,0,1
879,[OCN2009] J201134.63-564440.4,302.89433,-56.74456,G,13910.0,0.0464,SLS,18.4r,10.078,1,0,0,1,1,0,0
880,WISEA J201134.71-564438.1,302.89465,-56.74394,G,13940.0,0.046499,SUN,16.8V,10.09,13,0,29,7,4,2,0
922,WISEA J201136.11-565529.7,302.90047,-56.92492,G,18524.0,0.06179,SLS,15.9V,9.612,14,0,29,10,6,2,0
924,WISEA J201136.13-565031.2,302.90055,-56.84202,G,16707.0,0.055729,UUN,16.9V,8.121,14,0,28,9,6,2,0
926,2MASS J20113606-5640157,302.90087,-56.67081,*,48.0,0.00016,SLS,17.2r,12.957,2,0,6,2,1,0,0
931,WISEA J201136.32-564052.2,302.90135,-56.68117,*,12.0,4e-05,SLS,19.8V,12.467,4,0,12,3,1,0,0
934,[OCN2009] J201136.40-564746.7,302.90171,-56.79633,*,96.0,0.00032,SLS,17.5r,8.481,2,0,0,1,1,0,0
936,[OCN2009] J201136.46-565535.0,302.90192,-56.92639,*,63.0,0.00021,SLS,16.2r,9.62,1,0,0,1,1,0,0
943,[OCN2009] J201136.72-565112.8,302.903,-56.85356,*,105.0,0.00035,SLS,18.1r,8.085,2,0,0,1,1,0,0
946,WISEA J201136.66-565154.7,302.90308,-56.86514,G,64114.0,0.21386,SLS,20.0V,8.185,5,0,12,5,1,0,0
950,WISEA J201136.85-565344.1,302.9035,-56.89557,G,57527.0,0.19189,SLS,19.3V,8.705,5,0,12,5,1,0,0
952,WISEA J201136.85-564016.3,302.90358,-56.67122,*,27.0,9e-05,SLS,18.3V,12.882,4,0,18,4,1,0,0
963,2MASS J20113719-5647493,302.90458,-56.79686,*,75.0,0.00025,SLS,17.7r,8.382,2,0,5,2,1,0,0
972,WISEA J201137.42-565114.3,302.90592,-56.85399,*,36.0,0.00012,SLS,17.9r,7.992,2,0,18,3,1,0,0
983,WISEA J201137.81-564241.1,302.90758,-56.71142,*,168.0,0.00056,SLS,18.7r,11.001,2,0,12,2,1,0,0
985,WINGS J201138.00-565033.6,302.90842,-56.8427,G,15292.0,0.05101,SLS,19.8V,7.864,6,0,0,5,2,0,0
986,WISEA J201138.03-570258.0,302.90848,-57.04946,G,15296.0,0.051022,UUN,16.0V,14.862,17,0,29,9,7,2,0
1002,WISEA J201138.55-564457.8,302.9104,-56.74934,G,16063.0,0.05358,SLS,20.2V,9.479,4,0,12,4,1,0,0
1004,WISEA J201138.66-570005.2,302.91109,-57.00147,G,61368.0,0.2047,SLS,19.3V,12.458,5,0,12,4,1,0,0
1008,2MASS J20113884-5701332,302.91184,-57.02591,*,27.0,9e-05,SLS,16.5r,13.62,2,0,6,2,1,0,0
1015,WISEA J201138.95-565833.0,302.91232,-56.97585,*,9.0,3e-05,SLS,18.3r,11.27,2,0,12,2,1,0,0
1016,WINGS J201138.95-565838.0,302.91235,-56.9772,G,15205.0,0.05072,SLS,19.3V,11.328,6,0,0,5,2,0,0
1039,WISEA J201139.57-564203.2,302.9149,-56.70091,G,16624.0,0.055452,UUN,17.3V,11.285,8,0,19,5,2,0,0
1041,WISEA J201139.63-564940.2,302.91516,-56.82786,G,18959.0,0.06324,SLS,17.7V,7.67,5,0,18,5,1,0,0
1044,WISEA J201139.79-570041.6,302.91582,-57.01156,G,64410.0,0.21485,SLS,18.0V,12.844,5,0,18,5,1,0,0
1046,WISEA J201139.86-565415.8,302.91609,-56.9044,G,81918.0,0.27325,SLS,19.4V,8.556,5,0,12,4,1,0,0
1073,WISEA J201140.83-563910.9,302.92016,-56.65305,G,17463.0,0.05825,SLS,17.9V,13.44,5,0,18,5,1,0,0
1074,[OCN2009] J201140.87-565632.3,302.92029,-56.94233,G,357.0,0.00119,SLS,18.6r,9.701,2,0,0,1,1,0,0
1078,WISEA J201140.95-563945.7,302.92066,-56.6627,G,15766.0,0.05259,SLS,19.5V,12.953,5,0,12,4,1,0,0
1079,WINGS J201140.98-564933.5,302.92075,-56.82597,G,30507.0,0.10176,SLS,21.1V,7.498,3,0,0,1,1,0,0
1098,WISEA J201141.41-564441.1,302.92256,-56.74475,G,13536.0,0.04515,SLS,18.9V,9.318,5,0,12,4,1,0,0
1100,WISEA J201141.45-564827.2,302.92273,-56.80757,G,30552.0,0.10191,SLS,19.1V,7.631,5,0,12,4,1,0,0
1106,2MASS J20114176-5650113,302.92413,-56.83633,*,225.0,0.00075,SLS,18.2r,7.347,2,0,5,2,1,0,0
1111,WINGS J201142.03-563743.8,302.92511,-56.62883,G,47511.0,0.15848,SLS,,14.587,1,0,0,1,1,0,0
1114,WISEA J201142.10-565118.8,302.92535,-56.85521,G,18380.0,0.06131,SLS,18.4V,7.368,7,0,12,6,3,0,0
1120,WISEA J201142.38-565248.0,302.92659,-56.88002,G,17070.0,0.05694,SLS,17.4V,7.667,7,0,12,6,3,0,0
1126,WISEA J201142.53-570018.3,302.92725,-57.00511,G,17610.0,0.05874,SLS,17.7V,12.311,7,0,12,6,3,0,0
1128,[OCN2009] J201142.55-564255.6,302.92729,-56.71547,*,12.0,4e-05,SLS,18.3r,10.37,2,0,0,1,1,0,0
1137,WISEA J201142.94-564629.4,302.92892,-56.77484,G,30969.0,0.1033,SLS,19.1V,8.159,5,0,12,4,1,0,0
1153,[OCN2009] J201143.18-570011.0,302.92992,-57.00306,*,93.0,0.00031,SLS,18.0r,12.16,2,0,0,1,1,0,0
1176,WISEA J201143.90-564855.5,302.93294,-56.81543,G,30483.0,0.10168,SLS,16.97,7.199,7,0,28,6,4,2,0
1187,WISEA J201144.31-565314.1,302.93466,-56.88727,G,16984.0,0.056653,UUN,16.8V,7.571,10,0,31,6,3,2,0
1188,[OCN2009] J201144.38-563905.2,302.93492,-56.65147,*,147.0,0.00049,SLS,18.6r,13.256,2,0,0,1,1,0,0
1206,[OCN2009] J201144.70-564521.3,302.93625,-56.75594,*,147.0,0.00049,SLS,18.2r,8.556,2,0,0,1,1,0,0
1225,WISEA J201145.46-563958.2,302.93943,-56.66619,*,72.0,0.00024,SLS,17.8r,12.432,2,0,12,2,1,0,0
1229,WISEA J201145.64-563903.9,302.94,-56.65114,G,288.0,0.00096,SLS,18.8r,13.185,2,0,12,2,1,0,0
1233,WISEA J201145.76-565241.0,302.94054,-56.87797,*,0.0,0.0,SLS,18.6r,7.194,2,0,12,2,1,0,0
1241,[DZ2015] 046,302.942,-56.705,GGroup,16698.0,0.055697,SFO,,10.511,1,0,0,1,1,0,0
1244,WINGS J201146.11-565304.7,302.9422,-56.88463,G,99138.0,0.33069,SLS,19.3I,7.282,6,0,4,4,1,0,0
1245,WISEA J201146.12-565052.0,302.9422,-56.84786,G,14639.0,0.04883,SLS,18.9I,6.772,7,0,16,6,2,0,0
1272,[OCN2009] J201147.11-563706.4,302.94629,-56.61847,*,120.0,0.0004,SLS,18.9r,14.803,2,0,0,1,1,0,0
1275,WISEA J201147.41-564911.1,302.94755,-56.81978,G,71303.0,0.23784,SLS,18.6I,6.679,6,0,16,4,1,0,0
1285,WISEA J201147.64-565736.7,302.94862,-56.96008,*,21.0,7e-05,SLS,18.7r,9.769,2,0,12,2,1,0,0
